ine_label	utterance	num_tokens
UNK:UNK	Here is our forecast	4
UNK:UNK	Traveling to have a business meeting takes the fun out of the trip.  Especially if you have to prepare a presentation.  I would suggest holding the business plan meetings here then take a trip without any formal business meetings.  I would even try and get some honest opinions on whether a trip is even desired or necessary.  As far as the business meetings, I think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not.  Too often the presenter speaks and the others are quiet just waiting for their turn.   The meetings might be better if held in a round table discussion format.    My suggestion for where to go is Austin.  Play golf and rent a ski boat and jet ski's.  Flying somewhere takes too much time.	140
UNK:UNK	test successful.  way to go!!!	5
UNK:UNK	Randy,   Can you send me a schedule of the salary and level of everyone in the  scheduling group.  Plus your thoughts on any changes that need to be made.   (Patti S for example)  Phillip	34
UNK:UNK	Let's shoot for Tuesday at 11:45.	8
UNK:UNK	Greg,   How about either next Tuesday or Thursday?  Phillip	9
UNK:UNK	Please cc the following distribution list with updates:  Phillip Allen (pallen@enron.com) Mike Grigsby (mike.grigsby@enron.com) Keith Holst (kholst@enron.com) Monique Sanchez Frank Ermis John Lavorato   Thank you for your help  Phillip Allen	37
UNK:UNK	any morning between 10 and 11:30	7
UNK:UNK	1. login:  pallen pw: ke9davis   I don't think these are required by the ISP     2.  static IP address   IP: 64.216.90.105  Sub: 255.255.255.248  gate: 64.216.90.110  DNS: 151.164.1.8    3.  Company: 0413         RC:  105891	44
UNK:UNK	Mr. Buckner,   For delivered gas behind San Diego, Enron Energy Services is the appropriate  Enron entity.  I have forwarded your request to Zarin Imam at EES.  Her phone  number is 713-853-7107.    Phillip Allen	35
UNK:UNK	Lucy,   Here are the rentrolls:     Open them and save in the rentroll folder.  Follow these steps so you don't  misplace these files.   1.  Click on Save As  2.  Click on the drop down triangle under Save in:  3.  Click on the  (C): drive  4.  Click on the appropriate folder  5.  Click on Save:  Phillip	55
UNK:UNK	Dave,    Here are the names of the west desk members by category.  The origination  side is very sparse.        Phillip	19
UNK:UNK	Paula,   35 million is fine  Phillip	6
